Season,Crop Name,N (kg/ha),P₂O₅ (kg/ha),K₂O (kg/ha),pH,Moisture (%),Temp (°C),Yield Success (0-1)
Kharif,Groundnut,23.77,44.55,25.01,6.84,66.06,32.28,0.7535
Kharif,Jowar,94.55,40.16,47.47,7.58,62.63,29.96,0.7751
Kharif,Rice,124.56,44.06,40.93,6.5,93.83,27.6,0.7353
Kharif,Rice,110.32,56.33,40.78,6.1,84.11,26.25,0.7046
Kharif,Groundnut,21.14,40.47,29.56,6.22,70.99,29.64,0.7291
Kharif,Cotton,131.66,65.78,68.09,5.85,74.53,30.15,0.8659
Kharif,Cotton,146.71,61.66,67.25,6.76,71.75,26.18,0.7388
Kharif,Jowar,91.31,41.98,48.05,7.29,61.12,29.13,0.8361
Kharif,Groundnut,22.64,44.55,25.61,6.74,69.57,33.65,0.8557
Kharif,Cotton,121.96,74.48,60.8,6.56,73.47,31.58,0.698
Kharif,Groundnut,21.86,47.68,26.13,6.18,70.1,29.13,0.8088
Kharif,Jowar,81.93,45.97,41.84,6.55,69.7,31.8,0.6698
Kharif,Groundnut,23.76,46.67,27.41,6.25,65.23,26.54,0.7344
Kharif,Ragi,56.33,43.43,28.22,7.26,64.75,28.03,0.8325
Kharif,Jowar,96.65,41.57,41.56,7.38,68.07,27.49,0.6695
Annual,Sugarcane,272.65,82.09,164,7.03,80.82,31.81,0.837
Kharif,Ragi,52.21,49.91,27.41,6.54,71.81,29.81,0.742
Kharif,Jowar,87.07,43.63,43.74,7.7,60.72,28.77,0.8293
Kharif,Rice,115.93,46.74,44.89,6.22,81.41,34.75,0.7498
Rabi,Wheat,128.67,52.29,46.54,6.9,75.85,20.88,0.7861
Kharif,Jowar,87.48,46.16,48.02,7.15,69.65,31.56,0.7487
Rabi,Wheat,139.87,59.15,40.25,7.26,77.83,23.84,0.6641
Kharif,Ragi,51.59,49.15,25.25,6.84,71.75,26.49,0.6605
Rabi,Wheat,141.89,53.69,43.43,7.1,73.94,20.83,0.8032
Kharif,Cotton,124,68.77,60.52,5.82,76.59,32.55,0.6964
Kharif,Rice,135.19,43.1,58.14,6.52,91.68,31.02,0.7473
Kharif,Cotton,148.15,61.22,69.04,7.62,79.36,34.59,0.6363
Annual,Sugarcane,292.65,87.16,189.5,6.85,83.89,30.65,0.7407
Kharif,Rice,125.98,41.93,40.3,6.51,85.66,31.55,0.7735
Rabi,Wheat,130.13,57.92,46.42,6.33,68.21,20.69,0.7459
Rabi,Wheat,138.72,52.22,48.77,7.16,73.97,21.96,0.7903
Kharif,Rice,102.6,46.11,59.87,6.91,83.41,31.65,0.6644
Annual,Sugarcane,283.76,97.58,172.42,6.7,81.75,28.13,0.7364
Kharif,Cotton,137.72,72.8,73.88,7.11,79.21,25.94,0.7014
Kharif,Ragi,55.55,44.94,25.32,5.97,62.99,26.54,0.7621
